week,species,metric,value,prev
2026-03-26,pork,export_total,39760.0,
2026-03-28,beef,cutout,3.95,4.02
2026-03-28,beef,live_price,234.94,234.05
2026-03-28,beef,production,467600000.0,450800000.0
2026-03-28,beef,slaughter,520000.0,503000.0
2026-03-28,pork,cutout,0.97,0.99
2026-03-28,pork,live_price,90.52,90.38
2026-03-28,pork,production,551100000.0,544100000.0
2026-03-28,pork,slaughter,2524000.0,2491000.0
2026-04-02,beef,export_korea,4560.0,
2026-04-02,beef,export_total,13320.0,
2026-04-02,pork,export_korea,4520.0,
2026-04-02,pork,export_total,35120.0,
2026-04-04,beef,cutout,3.92,3.95
2026-04-04,beef,live_price,244.86,234.94
2026-04-04,beef,production,480400000.0,470300000.0
2026-04-04,beef,slaughter,533000.0,523000.0
2026-04-04,pork,cutout,0.97,0.97
2026-04-04,pork,live_price,89.39,90.52
2026-04-04,pork,production,523000000.0,548500000.0
2026-04-04,pork,slaughter,2396000.0,2512000.0
2026-04-09,beef,export_korea,4210.0,
2026-04-09,beef,export_total,13430.0,
2026-04-09,pork,export_korea,4050.0,
2026-04-09,pork,export_total,35340.0,
2026-04-11,beef,cutout,3.82,3.92
2026-04-11,beef,live_price,245.58,244.86
2026-04-11,beef,production,461400000.0,480400000.0
2026-04-11,beef,slaughter,512000.0,533000.0
2026-04-11,pork,cutout,0.98,0.97
2026-04-11,pork,live_price,89.36,89.39
2026-04-11,pork,production,539400000.0,523000000.0
2026-04-11,pork,slaughter,2472000.0,2396000.0
2026-04-16,beef,export_korea,4200.0,
2026-04-16,beef,export_total,12450.0,
2026-04-18,beef,cutout,3.82,3.82
2026-04-18,beef,live_price,248.08,245.58
2026-04-18,beef,production,462400000.0,461400000.0
2026-04-18,beef,slaughter,514000.0,512000.0
2026-04-18,pork,cutout,0.98,0.98
2026-04-18,pork,live_price,90.28,89.36
2026-04-18,pork,production,545500000.0,539400000.0
2026-04-18,pork,slaughter,2502000.0,2472000.0
2026-04-23,beef,export_korea,3800.0,
2026-04-23,beef,export_total,12320.0,
2026-04-23,pork,export_korea,4050.0,
2026-04-23,pork,export_total,35030.0,
2026-04-25,beef,cutout,3.85,3.82
2026-04-25,beef,live_price,246.0,248.08
2026-04-25,beef,production,475900000.0,462400000.0
2026-04-25,beef,slaughter,529000.0,514000.0
2026-04-25,pork,cutout,0.99,0.98
2026-04-25,pork,live_price,90.42,90.28
2026-04-25,pork,production,539300000.0,542000000.0
2026-04-25,pork,slaughter,2469000.0,2486000.0
2026-04-30,beef,export_korea,4430.0,
2026-04-30,beef,export_total,14210.0,
2026-04-30,pork,export_korea,3040.0,
2026-04-30,pork,export_total,40370.0,
2026-05-02,beef,cutout,3.89,3.85
2026-05-02,beef,live_price,255.02,246.0
2026-05-02,beef,production,480400000.0,475900000.0
2026-05-02,beef,slaughter,534000.0,529000.0
2026-05-02,pork,cutout,0.98,0.99
2026-05-02,pork,live_price,92.54,90.42
2026-05-02,pork,production,534300000.0,539300000.0
2026-05-02,pork,slaughter,2446000.0,2469000.0
2026-05-07,beef,export_korea,4310.0,
2026-05-07,beef,export_total,12530.0,
2026-05-07,pork,export_korea,3060.0,
2026-05-07,pork,export_total,35180.0,
2026-05-09,beef,cutout,3.9,3.89
2026-05-09,beef,live_price,258.32,255.02
2026-05-09,beef,production,473800000.0,480400000.0
2026-05-09,beef,slaughter,527000.0,534000.0
2026-05-09,pork,cutout,0.96,0.98
2026-05-09,pork,live_price,93.77,92.54
2026-05-09,pork,production,535800000.0,534300000.0
2026-05-09,pork,slaughter,2450000.0,2446000.0
2026-05-14,beef,export_korea,4420.0,
2026-05-14,beef,export_total,12260.0,
2026-05-16,beef,cutout,3.89,3.9
2026-05-16,beef,live_price,262.77,258.32
2026-05-16,beef,production,480400000.0,473800000.0
2026-05-16,beef,slaughter,535000.0,527000.0
2026-05-16,pork,cutout,0.97,0.96
2026-05-16,pork,live_price,91.52,93.77
2026-05-16,pork,production,516400000.0,535800000.0
2026-05-16,pork,slaughter,2366000.0,2450000.0
2026-05-23,beef,cutout,3.93,3.89
2026-05-23,beef,live_price,260.88,262.77
2026-05-23,beef,production,474400000.0,480400000.0
2026-05-23,beef,slaughter,528000.0,535000.0
2026-05-23,pork,cutout,0.97,0.97
2026-05-23,pork,live_price,93.23,91.52
2026-05-23,pork,production,507000000.0,514900000.0
2026-05-23,pork,slaughter,2321000.0,2359000.0
2026-05-28,beef,export_korea,3250.0,
2026-05-28,beef,export_total,10180.0,
2026-06-04,beef,export_korea,3940.0,
2026-06-04,beef,export_total,15240.0,
2026-06-04,pork,export_korea,2340.0,
2026-06-04,pork,export_total,34200.0,
2026-06-06,beef,cutout,3.94,3.93
2026-06-06,beef,live_price,256.38,256.0
2026-06-06,beef,production,479100000.0,402500000.0
2026-06-06,beef,slaughter,533000.0,448000.0
2026-06-06,pork,cutout,1.0,0.99
2026-06-06,pork,live_price,93.85,93.23
2026-06-06,pork,production,530000000.0,466500000.0
2026-06-06,pork,slaughter,2428000.0,2138000.0
2026-06-11,beef,export_korea,3470.0,
2026-06-11,beef,export_total,13020.0,
2026-06-13,beef,cutout,3.93,3.94
2026-06-13,beef,live_price,254.15,256.38
2026-06-13,beef,production,468900000.0,479100000.0
2026-06-13,beef,slaughter,524000.0,533000.0
2026-06-13,pork,cutout,0.96,1.0
2026-06-13,pork,live_price,95.27,93.85
2026-06-13,pork,production,524200000.0,528700000.0
2026-06-13,pork,slaughter,2402000.0,2422000.0
2026-06-20,beef,cutout,3.95,3.93
2026-06-20,beef,live_price,256.08,254.15
2026-06-20,beef,production,469600000.0,468900000.0
2026-06-20,beef,slaughter,526000.0,524000.0
2026-06-20,pork,cutout,0.96,0.96
2026-06-20,pork,live_price,93.91,95.27
2026-06-20,pork,production,517600000.0,522200000.0
2026-06-20,pork,slaughter,2371000.0,2393000.0
2026-06-25,beef,export_korea,4730.0,
2026-06-25,beef,export_total,17800.0,
2026-06-25,pork,export_korea,2280.0,
2026-06-25,pork,export_total,31800.0,
2026-07-02,beef,export_korea,4500.0,
2026-07-02,beef,export_total,14490.0,
2026-07-02,pork,export_korea,1930.0,
2026-07-02,pork,export_total,30180.0,
2026-07-04,beef,cutout,3.91,3.97
2026-07-04,beef,live_price,255.25,260.0
2026-07-04,beef,production,407200000.0,477600000.0
2026-07-04,beef,slaughter,458000.0,537000.0
2026-07-04,pork,cutout,0.96,0.95
2026-07-04,pork,live_price,95.47,93.44
2026-07-04,pork,production,428300000.0,514100000.0
2026-07-04,pork,slaughter,1974000.0,2361000.0
2026-07-09,beef,export_korea,3160.0,
2026-07-09,beef,export_total,10350.0,
2026-07-09,pork,export_korea,1800.0,
2026-07-09,pork,export_total,25220.0,
2026-07-11,beef,cutout,3.83,3.91
2026-07-11,beef,live_price,248.0,255.25
2026-07-11,beef,production,469100000.0,407200000.0
2026-07-11,beef,slaughter,529000.0,458000.0
2026-07-11,pork,cutout,0.98,0.95
2026-07-11,pork,live_price,98.3,93.44
2026-07-11,pork,production,511400000.0,514100000.0
2026-07-11,pork,slaughter,2369000.0,2361000.0
2026-07-18,beef,cutout,3.71,3.83
2026-07-18,beef,live_price,238.59,248.0
2026-07-18,beef,production,465000000.0,469100000.0
2026-07-18,beef,slaughter,525000.0,529000.0
2026-07-18,pork,cutout,1.02,0.98
2026-07-18,pork,live_price,99.32,98.3
2026-07-18,pork,production,496700000.0,510300000.0
2026-07-18,pork,slaughter,2310000.0,2364000.0
